date,maximum,minimum,average,departure,hdd,cdd,precipitation,new snow,snow depth
1/1/14,64,46,55,-1.4,10,0,0,0,0
1/2/14,78,50,64,7.6,1,0,0,0,0
1/3/14,64,47,55.5,-0.9,9,0,0,0,0
1/4/14,65,50,57.5,1,7,0,0,0,0
1/5/14,76,47,61.5,5,3,0,0,0,0
1/6/14,78,50,64,7.5,1,0,0,0,0
1/7/14,69,51,60,3.5,5,0,0,0,0
1/8/14,66,49,57.5,0.9,7,0,0,0,0
1/9/14,60,50,55,-1.6,10,0,0,0,M
1/10/14,65,48,56.5,-0.1,8,0,0,0,0
1/11/14,67,47,57,0.4,8,0,0,M,0
1/12/14,69,51,60,3.3,5,0,0,0,0
1/13/14,83,46,64.5,7.8,0,0,0,0,0
1/14/14,79,50,64.5,7.8,0,0,0,0,0
1/15/14,83,52,67.5,10.8,0,3,0,0,0
1/16/14,84,54,69,12.2,0,4,0,0,0
1/17/14,87,53,70,13.2,0,5,0,0,0
1/18/14,83,51,67,10.2,0,2,0,0,0
1/19/14,76,49,62.5,5.7,2,0,0,0,0
1/20/14,78,49,63.5,6.7,1,0,0,0,0
1/21/14,76,51,63.5,6.7,1,0,0,0,0
1/22/14,73,53,63,6.2,2,0,0,0,0
1/23/14,68,51,59.5,2.7,5,0,0,0,0
1/24/14,73,56,64.5,7.7,0,0,0,0,0
1/25/14,75,58,66.5,9.7,0,2,0,0,0
1/26/14,66,53,59.5,2.6,5,0,T,0,0
1/27/14,65,54,59.5,2.6,5,0,0,0,0
1/28/14,64,50,57,0.1,8,0,0,0,0
1/29/14,62,52,57,0.1,8,0,0,0,0
1/30/14,62,57,59.5,2.6,5,0,T,0,0
1/31/14,63,56,59.5,2.6,5,0,T,0,0
2/1/14,68,53,60.5,3.6,4,0,0,0,0
2/2/14,62,46,54,-2.9,11,0,0.09,M,0
2/3/14,60,46,53,-3.9,12,0,T,M,0
2/4/14,62,48,55,-1.9,10,0,0,0,0
2/5/14,63,50,56.5,-0.4,8,0,0,0,0
2/6/14,60,53,56.5,-0.5,8,0,0.14,0,0
2/7/14,61,51,56,-1,9,0,T,0,0
2/8/14,62,53,57.5,0.5,7,0,0,0,0
2/9/14,66,56,61,4,4,0,0,0,0
2/10/14,66,54,60,3,5,0,0,0,0
2/11/14,68,53,60.5,3.5,4,0,0,0,0
2/12/14,74,51,62.5,5.4,2,0,0,0,0
2/13/14,72,53,62.5,5.4,2,0,0,0,0
2/14/14,72,51,61.5,4.4,3,0,0,0,0
2/15/14,73,52,62.5,5.4,2,0,0,0,0
2/16/14,71,55,63,5.8,2,0,0,0,0
2/17/14,63,52,57.5,0.3,7,0,0,0,0
2/18/14,63,55,59,1.8,6,0,0,0,0
2/19/14,66,55,60.5,3.3,4,0,0,0,0
2/20/14,78,50,64,6.7,1,0,0,0,0
2/21/14,74,56,65,7.7,0,0,0,0,0
2/22/14,70,52,61,3.7,4,0,0,0,0
2/23/14,67,50,58.5,1.1,6,0,0,0,0
2/24/14,65,53,59,1.6,6,0,0,0,0
2/25/14,67,55,61,3.6,4,0,0,0,0
2/26/14,66,57,61.5,4,3,0,0.06,0,0
2/27/14,67,57,62,4.5,3,0,0.94,0,0
2/28/14,64,57,60.5,3,4,0,1.56,0,0
3/1/14,65,53,59,1.4,6,0,0.35,0,0
3/2/14,63,54,58.5,0.9,6,0,T,M,0
3/3/14,64,52,58,0.4,7,0,0,0,0
3/4/14,65,54,59.5,1.9,5,0,0,0,0
3/5/14,65,55,60,2.3,5,0,0,0,0
3/6/14,68,57,62.5,4.8,2,0,0,0,0
3/7/14,68,55,61.5,3.8,3,0,0,0,0
3/8/14,76,53,64.5,6.7,0,0,0,0,0
3/9/14,85,61,73,15.2,0,8,0,0,0
3/10/14,75,58,66.5,8.7,0,2,0,0,0
3/11/14,76,55,65.5,7.6,0,1,0,0,0
3/12/14,81,55,68,10.1,0,3,0,0,0
3/13/14,67,58,62.5,4.6,2,0,0,0,0
3/14/14,66,53,59.5,1.6,5,0,0,0,0
3/15/14,72,55,63.5,5.5,1,0,0,0,0
3/16/14,83,56,69.5,11.5,0,5,0,0,0
3/17/14,71,56,63.5,5.5,1,0,0,0,0
3/18/14,70,58,64,5.9,1,0,0,0,0
3/19/14,70,57,63.5,5.4,1,0,0,0,0
3/20/14,68,57,62.5,4.3,2,0,0,0,0
3/21/14,66,57,61.5,3.3,3,0,0,0,0
3/22/14,65,58,61.5,3.3,3,0,0,0,0
3/23/14,65,55,60,1.7,5,0,0,0,0
3/24/14,65,59,62,3.7,3,0,0,0,0
3/25/14,65,58,61.5,3.1,3,0,0,0,0
3/26/14,66,57,61.5,3.1,3,0,0.01,0,0
3/27/14,65,53,59,0.5,6,0,0,0,0
3/28/14,67,53,60,1.5,5,0,0,0,0
3/29/14,70,55,62.5,3.9,2,0,0,0,0
3/30/14,67,56,61.5,2.9,3,0,0,0,0
3/31/14,64,51,57.5,-1.2,7,0,0,0,0
4/1/14,62,52,57,-1.8,8,0,0.12,0,0
4/2/14,62,50,56,-2.8,9,0,0.05,0,0
4/3/14,64,49,56.5,-2.4,8,0,0,0,0
4/4/14,62,53,57.5,-1.5,7,0,0,0,0
4/5/14,65,52,58.5,-0.6,6,0,0,0,0
4/6/14,71,52,61.5,2.4,3,0,0,0,0
4/7/14,81,56,68.5,9.3,0,4,0,0,0
4/8/14,80,58,69,9.7,0,4,0,0,0
4/9/14,76,54,65,5.6,0,0,0,0,0
4/10/14,65,53,59,-0.5,6,0,0,0,0
4/11/14,70,56,63,3.4,2,0,0,0,0
4/12/14,65,56,60.5,0.8,4,0,0,0,0
4/13/14,64,56,60,0.2,5,0,0,0,0
4/14/14,68,56,62,2.1,3,0,0,0,0
4/15/14,62,56,59,-1,6,0,0,0,M
4/16/14,67,58,62.5,2.4,2,0,0,0,0
4/17/14,69,58,63.5,3.3,1,0,0,0,0
4/18/14,72,60,66,5.7,0,1,0,0,0
4/19/14,67,58,62.5,2.1,2,0,0,0,0
4/20/14,69,57,63,2.5,2,0,0,0,0
4/21/14,68,58,63,2.3,2,0,0,0,0
4/22/14,67,57,62,1.2,3,0,0,0,0
4/23/14,69,56,62.5,1.6,2,0,0,0,0
4/24/14,73,56,64.5,3.5,0,0,0,0,0
4/25/14,70,55,62.5,1.4,2,0,0.09,0,0
4/26/14,66,54,60,-1.2,5,0,0,0,0
4/27/14,67,53,60,-1.3,5,0,0,0,0
4/28/14,75,55,65,3.6,0,0,0,0,0
4/29/14,88,58,73,11.5,0,8,0,0,0
4/30/14,89,63,76,14.4,0,11,0,0,0
5/1/14,89,64,76.5,14.8,0,12,0,0,0
5/2/14,90,64,77,15.3,0,12,0,0,0
5/3/14,82,62,72,10.2,0,7,0,0,0
5/4/14,74,59,66.5,4.6,0,2,0,0,0
5/5/14,70,58,64,2,1,0,0,0,0
5/6/14,66,54,60,-2.1,5,0,0,0,0
5/7/14,66,55,60.5,-1.6,4,0,0,0,0
5/8/14,68,56,62,-0.2,3,0,0,0,0
5/9/14,68,56,62,-0.3,3,0,0,0,0
5/10/14,70,57,63.5,1.1,1,0,0,0,0
5/11/14,87,62,74.5,12.1,0,10,0,0,0
5/12/14,87,58,72.5,10,0,8,0,0,0
5/13/14,93,64,78.5,16,0,14,0,0,0
5/14/14,96,65,80.5,17.9,0,16,0,0,0
5/15/14,97,70,83.5,20.8,0,19,0,0,0
5/16/14,91,67,79,16.3,0,14,0,0,0
5/17/14,77,63,70,7.2,0,5,0,0,0
5/18/14,71,63,67,4.2,0,2,0,0,0
5/19/14,72,60,66,3.1,0,1,0,0,0
5/20/14,69,59,64,1.1,1,0,0,0,0
5/21/14,70,57,63.5,0.5,1,0,0,0,0
5/22/14,69,59,64,0.9,1,0,0,0,0
5/23/14,69,62,65.5,2.4,0,1,0,0,0
5/24/14,69,63,66,2.8,0,1,0,0,0
5/25/14,72,63,67.5,4.2,0,3,0,0,0
5/26/14,73,63,68,4.7,0,3,0,0,0
5/27/14,74,64,69,5.6,0,4,0,0,0
5/28/14,73,65,69,5.5,0,4,0,0,0
5/29/14,74,64,69,5.5,0,4,0,0,0
5/30/14,74,62,68,4.4,0,3,0,0,0
5/31/14,74,61,67.5,3.8,0,3,0,0,0
6/1/14,72,61,66.5,2.7,0,2,0,0,0
6/2/14,69,60,64.5,0.6,0,0,0,0,0
6/3/14,73,59,66,2,0,1,0,0,0
6/4/14,72,60,66,1.9,0,1,0,0,0
6/5/14,71,61,66,1.8,0,1,0,0,0
6/6/14,70,61,65.5,1.2,0,1,0,0,0
6/7/14,70,61,65.5,1.1,0,1,0,0,0
6/8/14,72,60,66,1.5,0,1,0,0,0
6/9/14,69,59,64,-0.6,1,0,0,0,0
6/10/14,71,63,67,2.2,0,2,0,0,0
